City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,north bend,43.4065,-124.2243,12.92,87,100,5.14,US,1702331768
115,toktogul,41.8708,72.9402,1.3,96,100,0.86,KG,1702331769
116,paramonga,-10.6667,-77.8333,21.2,81,12,4.68,PE,1702331769
117,albany,42.6001,-73.9662,2.51,75,12,5.36,US,1702331702
118,aykhal,66.0,111.5,-26.17,99,100,2.05,RU,1702331738
119,saipan,15.1355,145.701,27.39,83,20,5.66,MP,1702331750
120,maintirano,-18.0667,44.0167,28.38,77,85,3.42,MG,1702331770
121,namibe,-15.1961,12.1522,22.29,71,46,3.3,AO,1702331759
122,amparafaravola,-17.5833,48.2167,20.05,94,59,1.15,MG,1702331771
123,antonio enes,-16.2325,39.9086,26.97,79,86,3.75,MZ,1702331771
124,bamboo flat,11.7,92.7167,26.81,82,53,3.68,IN,1702331771
125,boguchany,58.3814,97.4531,-28.97,96,100,0.45,RU,1702331772
126,nuuk,64.1835,-51.7216,1.34,86,100,17.49,GL,1702331640
127,esil,51.9556,66.4042,-31.41,96,6,4.32,KZ,1702331772
128,hammerfest,70.6634,23.6821,-1.75,93,75,4.63,NO,1702331773
129,katsuura,35.1333,140.3,14.01,93,100,9.68,JP,1702331748
130,bilibino,68.0546,166.4372,-20.14,95,100,1.6,RU,1702331698
131,ancud,-41.8697,-73.8203,12.22,87,100,5.29,CL,1702331774
132,ouricuri,-7.8825,-40.0817,30.88,29,74,1.69,BR,1702331774
133,polyarnyy,69.1989,33.4478,-12.66,91,96,7.53,RU,1702331775
134,oyotun,-6.8519,-79.3036,27.82,60,16,3.38,PE,1702331775
135,prince rupert,54.3161,-130.3201,5.05,79,0,8.23,CA,1702331776
136,arris,35.2588,6.3471,12.14,42,0,1.1,DZ,1702331776
137,bubaque,11.2833,-15.8333,28.02,63,1,5.82,GW,1702331776
138,anka,12.1138,5.9243,19.95,24,0,4.75,NG,1702331777
139,korla,41.7597,86.1469,-3.26,61,73,1.9,CN,1702331777
140,brignoles,43.4,6.0667,17.35,86,81,3.69,FR,1702331777
141,egilsstadir,65.2653,-14.3948,-3.05,74,100,3.09,IS,1702331584
142,gun barrel city,32.3346,-96.1514,18.43,33,6,2.86,US,1702331778
143,port lincoln,-34.7333,135.8667,18.62,65,77,4.51,AU,1702331738
