City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,fale old settlement,-9.3852,-171.2468,28.71,78,100,9.25,TK,1702337544
222,tazovsky,67.4667,78.7,-25.48,95,100,3.82,RU,1702337544
223,kolonia,50.9333,6.95,9.93,83,100,3.09,DE,1702337545
224,grand falls-windsor,48.9332,-55.6649,13.61,89,100,3.13,CA,1702337484
225,suntar,62.1444,117.6319,-29.97,97,99,2.06,RU,1702337545
226,laojunmiao,39.8333,97.7333,0.0,17,55,3.62,CN,1702337546
227,sitka,57.0531,-135.33,6.94,76,100,6.17,US,1702337547
228,bileca,42.8719,18.4297,7.94,77,100,2.07,BA,1702337547
229,buenaventura lakes,28.3358,-81.3531,14.06,66,0,4.63,US,1702337547
230,belogorsk,50.9158,128.4611,-31.56,94,5,1.85,RU,1702337548
231,papao,-17.75,-149.55,30.82,79,93,11.01,PF,1702337548
232,roxborough park,39.4739,-105.0853,8.38,59,82,1.53,US,1702337549
233,utrik,11.2278,169.8474,27.2,70,26,8.64,MH,1702337549
234,happy valley-goose bay,53.3168,-60.3315,-0.83,86,100,2.06,CA,1702337549
235,remire-montjoly,4.9167,-52.2667,28.02,83,20,2.06,GF,1702337550
236,linxia chengguanzhen,35.6003,103.2064,-0.67,40,2,1.41,CN,1702337550
237,neiafu,-18.65,-173.9833,29.38,58,20,5.14,TO,1702337550
238,ar ruways,24.1103,52.7306,21.48,65,51,2.0,AE,1702337551
239,lira,2.235,32.9097,19.86,89,86,1.12,UG,1702337551
240,dwarka,22.2394,68.9678,23.69,53,92,3.0,IN,1702337552
241,nogliki,51.8333,143.1667,-22.03,93,4,4.02,RU,1702337552
242,sinabang,2.4803,96.3801,25.96,81,99,1.54,ID,1702337553
243,veraval,20.9,70.3667,21.13,40,91,4.16,IN,1702337553
244,sarichioi,44.95,28.85,2.31,93,20,2.57,RO,1702337553
245,belyy yar,53.6039,91.3903,-36.06,75,41,0.0,RU,1702337554
246,lebu,-37.6167,-73.65,13.79,82,100,2.58,CL,1702337496
247,genhe,50.7833,121.5167,-38.12,100,41,0.2,CN,1702337555
248,argayash,55.4888,60.8767,-35.17,94,44,3.12,RU,1702337555
249,mazyr,52.0495,29.2456,0.53,98,100,4.62,BY,1702337555
250,tabuk,17.4189,121.4443,23.57,85,96,0.9,PH,1702337302
251,jalai nur,49.45,117.7,-25.67,100,99,0.4,CN,1702337556
252,pointe-noire,-4.7761,11.8635,25.34,87,100,2.74,CG,1702337557
253,sanjwal,33.7608,72.4336,9.82,27,50,1.74,PK,1702337557
254,vernon,50.2581,-119.2691,3.5,88,63,0.0,CA,1702337471
255,xiuyan,40.2928,123.2744,-13.77,82,72,3.18,CN,1702337558
256,vilyuysk,63.7553,121.6247,-27.17,97,100,3.07,RU,1702337558
257,vengerovo,55.6848,76.7471,-31.13,93,10,3.98,RU,1702337558
258,myitkyina,25.3833,97.4,14.75,84,4,1.03,MM,1702337559
259,uzgen,40.7699,73.3007,-0.84,100,100,2.02,KG,1702337425
260,stephenville,32.2207,-98.2023,16.07,29,0,2.06,US,1702337274
261,rizhao,35.4275,119.4553,-1.12,84,100,2.89,CN,1702337560
262,sierra grande,-41.606,-65.3557,20.55,45,35,7.9,AR,1702337561
263,vila franca do campo,37.7167,-25.4333,13.23,82,99,2.35,PT,1702337561
264,ta`u,-14.2336,-169.5144,26.39,89,85,8.29,AS,1702337562
265,quellon,-43.1167,-73.6167,9.7,96,100,1.85,CL,1702337562
266,semporna,4.4818,118.6112,27.55,78,45,2.75,MY,1702337562
267,taro,-8.3862,115.28,23.0,69,45,0.69,ID,1702337563
268,cateel,7.7914,126.4533,26.39,92,99,0.42,PH,1702337563
269,hazorasp,41.3194,61.0742,-17.09,41,0,8.3,UZ,1702337563
270,majuro,7.0897,171.3803,29.98,70,100,7.72,MH,1702337564
271,huarmey,-10.0681,-78.1522,19.13,90,7,5.44,PE,1702337564
272,kodiak,57.79,-152.4072,-0.27,59,0,6.69,US,1702337564
273,iquique,-20.2208,-70.1431,21.02,79,96,1.32,CL,1702337455
274,tralee,52.2704,-9.7026,9.18,88,100,4.8,IE,1702337565
275,kununurra,-15.7667,128.7333,31.99,58,98,2.57,AU,1702337566
